Ticker,Method,Trades,Win Rate %,Avg Return %,Total Return %,Profit Factor,Max Drawdown %
ADANIENT.NS,Fixed Size,880,65.8,0.1841,382.37,1.9,-11.28
ADANIENT.NS,Volatility Based,880,65.8,0.1786,361.32,1.88,-10.32
ADANIENT.NS,Signal Strength,880,65.8,0.1615,303.45,2.0,-9.79
ADANIPORTS.NS,Fixed Size,1006,68.2,0.1807,491.31,1.99,-10.74
ADANIPORTS.NS,Volatility Based,1006,68.2,0.1848,515.88,2.02,-13.16
ADANIPORTS.NS,Signal Strength,1006,68.2,0.1729,452.85,2.15,-10.62
BPCL.NS,Fixed Size,856,66.5,0.2236,555.31,2.32,-8.18
BPCL.NS,Volatility Based,856,66.5,0.2181,529.02,2.37,-9.28
BPCL.NS,Signal Strength,856,66.5,0.1991,435.47,2.43,-9.5
CIPLA.NS,Fixed Size,851,65.3,0.2181,523.16,2.88,-5.93
CIPLA.NS,Volatility Based,851,65.3,0.2061,461.25,2.66,-8.52
CIPLA.NS,Signal Strength,851,65.3,0.2065,467.19,3.21,-5.88
TATACONSUM.NS,Fixed Size,923,65.2,0.1993,513.91,2.43,-5.91
TATACONSUM.NS,Volatility Based,923,65.2,0.2025,533.23,2.48,-5.59
TATACONSUM.NS,Signal Strength,923,65.2,0.1743,388.59,2.43,-5.27
