Ticker,Rule,Trades,Win Rate %,Avg Net %,Total Return %,Profit Factor,Max Drawdown %
ADANIENT.NS,Rule1_ReliableBull,819,65.8,0.1913,360.97,2.01,-11.28
ADANIENT.NS,Rule3_EarlyWeek,719,64.7,0.4824,991.78,3.05,-18.14
ADANIENT.NS,Rule4_Combined,512,67.6,0.1735,139.89,2.11,-9.8
ADANIPORTS.NS,Rule1_ReliableBull,955,68.2,0.1904,493.85,2.1,-10.05
ADANIPORTS.NS,Rule3_EarlyWeek,735,62.7,0.192,298.94,2.04,-11.32
ADANIPORTS.NS,Rule4_Combined,590,70.2,0.2206,260.9,2.48,-7.59
APOLLOHOSP.NS,Rule1_ReliableBull,816,62.0,0.167,282.94,2.15,-7.31
APOLLOHOSP.NS,Rule3_EarlyWeek,775,60.5,0.1427,196.8,1.88,-7.38
APOLLOHOSP.NS,Rule4_Combined,499,64.1,0.1842,147.43,2.3,-6.26
ASIANPAINT.NS,Rule1_ReliableBull,750,57.3,0.096,102.67,1.6,-8.67
ASIANPAINT.NS,Rule3_EarlyWeek,736,54.1,0.0315,23.46,1.15,-13.04
ASIANPAINT.NS,Rule4_Combined,437,57.7,0.0961,51.09,1.63,-6.92
AXISBANK.NS,Rule1_ReliableBull,744,55.6,0.1055,112.75,1.49,-12.47
AXISBANK.NS,Rule3_EarlyWeek,726,58.0,0.1024,103.02,1.4,-10.0
AXISBANK.NS,Rule4_Combined,464,56.9,0.0985,55.41,1.46,-11.73
BAJAJ-AUTO.NS,Rule1_ReliableBull,732,56.1,0.1036,110.66,1.74,-5.39
BAJAJ-AUTO.NS,Rule3_EarlyWeek,741,57.5,0.0562,49.43,1.33,-8.57
BAJAJ-AUTO.NS,Rule4_Combined,436,54.6,0.0825,42.06,1.57,-5.66
BAJFINANCE.NS,Rule1_ReliableBull,863,62.9,0.1542,267.48,1.81,-12.1
BAJFINANCE.NS,Rule3_EarlyWeek,705,57.4,0.0961,90.83,1.37,-18.49
BAJFINANCE.NS,Rule4_Combined,522,63.8,0.1553,122.39,1.97,-7.94
BAJAJFINSV.NS,Rule1_ReliableBull,847,63.8,0.1495,244.88,1.81,-10.82
BAJAJFINSV.NS,Rule3_EarlyWeek,750,62.3,0.1438,185.08,1.71,-12.73
BAJAJFINSV.NS,Rule4_Combined,509,65.8,0.1815,148.53,2.23,-6.96
BPCL.NS,Rule1_ReliableBull,802,66.0,0.2253,490.24,2.34,-8.18
BPCL.NS,Rule3_EarlyWeek,741,63.6,0.1739,253.03,1.92,-9.88
