Ticker,Rule,Trades,Win Rate %,Avg Net %,Total Return %,Profit Factor,Max Drawdown %
ADANIENT.NS,Rule3_EarlyWeek,719,64.7,0.4824,991.78,3.05,-18.14
ADANIPORTS.NS,Rule3_EarlyWeek,735,62.7,0.192,298.94,2.04,-11.32
BPCL.NS,Rule3_EarlyWeek,741,63.6,0.1739,253.03,1.92,-9.88
SBIN.NS,Rule3_EarlyWeek,736,63.9,0.1746,252.8,1.94,-7.81
TATASTEEL.NS,Rule3_EarlyWeek,753,62.2,0.1661,239.72,1.76,-7.89
SHRIRAMFIN.NS,Rule3_EarlyWeek,752,61.6,0.1602,219.59,1.6,-13.86
LT.NS,Rule3_EarlyWeek,749,63.4,0.156,215.31,1.96,-5.58
APOLLOHOSP.NS,Rule3_EarlyWeek,775,60.5,0.1427,196.8,1.88,-7.38
ONGC.NS,Rule3_EarlyWeek,729,60.4,0.1514,192.56,1.69,-9.08
BAJAJFINSV.NS,Rule3_EarlyWeek,750,62.3,0.1438,185.08,1.71,-12.73
