Ticker,Rule,Trades,Win Rate %,Avg Net %,Total Return %,Profit Factor,Max Drawdown %
ADANIPORTS.NS,Rule4_Combined,590,70.2,0.2206,260.9,2.48,-7.59
CIPLA.NS,Rule4_Combined,477,67.5,0.2423,212.4,3.5,-6.21
TATACONSUM.NS,Rule4_Combined,524,63.7,0.2049,187.98,2.56,-5.13
BPCL.NS,Rule4_Combined,489,68.7,0.2156,182.46,2.42,-7.95
TATASTEEL.NS,Rule4_Combined,442,67.4,0.2298,172.21,2.53,-7.64
BAJAJFINSV.NS,Rule4_Combined,509,65.8,0.1815,148.53,2.23,-6.96
APOLLOHOSP.NS,Rule4_Combined,499,64.1,0.1842,147.43,2.3,-6.26
ADANIENT.NS,Rule4_Combined,512,67.6,0.1735,139.89,2.11,-9.8
INDUSINDBK.NS,Rule4_Combined,473,63.0,0.1844,135.92,2.11,-5.13
BAJFINANCE.NS,Rule4_Combined,522,63.8,0.1553,122.39,1.97,-7.94
